run,best_treatment_frac,price,unit_cost,contact_cost,optimized_profit,baseline_profit,profit_increase,optimized_revenue,baseline_revenue,revenue_increase,optimized_conversions,baseline_conversions,conversions_increase,profit_increase_pct,revenue_increase_pct,conversions_increase_pct
1,0.0,199.3120887400734,67.0541971677668,10.373876078980897,48434.83243877061,48434.83243877061,0.0,72991.0896535735,72991.0896535735,0.0,366.2150656037855,366.2150656037855,0.0,0.0,0.0,0.0
2,0.01,185.5262452306855,22.16250382565824,11.719657043822693,60495.098596900294,36815.54132588311,23679.557271017184,95321.25242160607,68429.24253353183,26892.009888074244,513.7885063274067,368.8386106690517,144.949895658355,64.31945971243755,39.299002725182255,39.299002725182255
3,0.01,197.00514635826354,112.18835968600399,1.9733067757687777,39631.27658429298,27337.092206071997,12294.184378220983,101218.97988622438,72663.10447743512,28555.87540878926,513.7885063274067,368.8386106690517,144.949895658355,44.97253872337692,39.299002725182255,39.299002725182255
4,0.0,141.06946882120207,45.52322999650527,11.157797371758921,34990.47211938129,34990.47211938129,0.0,51661.764779047684,51661.764779047684,0.0,366.2150656037855,366.2150656037855,0.0,0.0,0.0,0.0
5,0.0,175.89572161451963,110.31256962954093,5.599263286514308,24017.538306682014,24017.538306682014,0.0,64415.6632304865,64415.6632304865,0.0,366.2150656037855,366.2150656037855,0.0,0.0,0.0,0.0
6,0.01,100.90296992125984,46.423591192126956,1.2338984451980162,25523.081732490242,17626.301470170427,7896.780262319815,51842.78619984334,37216.91123813859,14625.874961704743,513.7885063274067,368.8386106690517,144.949895658355,44.80111880353231,39.29900272518225,39.299002725182255
7,0.0,208.97361095866478,92.11637188586843,9.218009010981799,42794.881473321366,42794.881473321366,0.0,76529.28464668737,76529.28464668737,0.0,366.2150656037855,366.2150656037855,0.0,0.0,0.0,0.0
8,0.0,123.8146742633763,90.43301452996936,10.770892895205273,12224.866709232869,12224.866709232869,0.0,45342.79905807368,45342.79905807368,0.0,366.2150656037855,366.2150656037855,0.0,0.0,0.0,0.0
9,0.01,200.10902947327713,35.303032020755786,5.867291542860893,72940.84417920756,49052.23204459345,23888.612134614108,102813.71935570207,73807.93641325585,29005.78294244621,513.7885063274067,368.8386106690517,144.949895658355,48.70035702533768,39.29900272518226,39.299002725182255
10,0.0,67.88467784170118,16.312524426848416,8.355062962288228,18886.499546148792,18886.499546148792,0.0,24860.39174929044,24860.39174929044,0.0,366.2150656037855,366.2150656037855,0.0,0.0,0.0,0.0
